region,artist_name,title,permalink,machine_clusters
Americas,Edgar Arceneaux,Untitled (Wheelchair drawing),https://kadist.org/work/untitled-wheelchair-drawing/,"Arts,History,Language"
Americas,Doug Aitken,Frontier-Linear,https://kadist.org/work/frontier-linear/,"Time,Arts,Geopolitics"
Americas,Zarouhie Abdalian,Flutter,https://kadist.org/work/flutter/,"Identity,Mind,Mass media"
Americas,Alexis Smith,Iron Sorrows,https://kadist.org/work/iron-sorrows/,
Europe,Jeremy Deller,Beyond the White Walls,https://kadist.org/work/beyond-the-white-walls/,"Community,History,Urbanization"
Asia,Zhou Tao,After Reality,https://kadist.org/work/after-reality/,"Urbanization,Land,Familial"
Americas,Lucas Blalock,Tree on Keystone,https://kadist.org/work/tree-on-keystone/,"Arts,Land,Culture"
Americas,Jeff Burton,Eniko Mihalik,https://kadist.org/work/eniko-mihalik/,"Technology,Power,Materiality"
Americas,Kori Newkirk,LAB,https://kadist.org/work/lab/,"Identity,Mass media"
Americas,Futurefarmers,A Variation on Powers of Ten,https://kadist.org/work/a-variation-on-powers-of-ten/,"Space,Environmental,Body"
Americas,Jennifer West,Dawn Surf Jellybowl,https://kadist.org/work/dawn-surf-jellybowl/,"Arts,Economy,History"
Middle East & Africa,Yael Bartana,A Declaration,https://kadist.org/work/a-declaration/,"Colonization,Body,Materiality"
Europe,Mark Leckey,Made in Heaven,https://kadist.org/work/made-in-heaven/,"Design,Mass media,Identity"
Europe,Tobias Rehberger,9 O’clock? (my time is not your time),https://kadist.org/work/9-oclock-my-time-is-not-your-time/,"Time,Mind,History"
Europe,Nathalie Djurberg,Once Removed on my Mother’s Side,https://kadist.org/work/once-removed-on-my-mothers-side/,"Fantasy,Violence,Arts"
Europe,Nathalie Djurberg,Hans Forlorara sina bada amar och ben,https://kadist.org/work/hans-forlorara-sina/,"Fantasy,Violence,Arts"
Americas,Dennis Adams,Make Down,https://kadist.org/work/make-down/,"Arts,Mass media,History"
Americas,Dennis Adams,The End,https://kadist.org/work/the-end/,"Mass media,Arts,Violence"
Middle East & Africa,Santu Mofokeng,"Sangoma Cleansing Ritual at Kliprivier, Soweto",https://kadist.org/work/sangoma-cleansing-ritual-at-kliprivier-soweto/,"Culture,Colonization,History"
Middle East & Africa,Santu Mofokeng,"Altar at Kliprivier, Soweto",https://kadist.org/work/altar-at-kliprivier-soweto/,"Culture,Colonization,History"
Americas,Elisheva Biernoff,They Were Here,https://kadist.org/work/they-were-here/,"Fantasy,Spirituality,Arts"
Americas,Jeff Burton,Negligee,https://kadist.org/work/negligee/,"Mass media,Materiality"
Americas,Felipe Arturo,Trópico entrópico,https://kadist.org/work/tropico-entropico/,"History,Inequality,Time"
Americas,Pia Camil,Espectacular cortina,https://kadist.org/work/espectacular-cortina/,"Arts,Land,Mass media"
Americas,Michelle Handelman,"Dorian, a cinematic perfume",https://kadist.org/work/dorian-a-cinematic-perfume/,"Language,Colonization,Body"
Unspecified,Humberto Diaz,Observador Pasivo,https://kadist.org/work/observador-pasivo/,"Politics,Land,Economy"
Americas,Humberto Diaz,3600 besos por hora,https://kadist.org/work/3600-besos-por-hora/,"Land,History,Politics"
Unspecified,Sergio De La Torre,This is not in Spanish,https://kadist.org/work/this-is-not-in-spanish/,"Geopolitics,Colonization,Community"
Unspecified,Edgardo Aragón,Efectos de familia,https://kadist.org/work/efectos-de-familia/,"Arts,Community,Land"
Unspecified,Mauricio Ancalmo,War Footage,https://kadist.org/work/war-footage/,"Arts,Technology,Language"
Unspecified,Pedro Reyes,Los Mutantes,https://kadist.org/work/los-mutantes/,"Environmental,Politics,Power"
Unspecified,Edgar Orlaineta,"Solar Do (It Yourself) Nothing Toy, After Charles Eames",https://kadist.org/work/solar-do-it-yourself-nothing-toy-after-charles-eames/,"Technology,Land,War"
Unspecified,Marepe,Periquitos (Parakeets),https://kadist.org/work/periquitos-parakeets/,"Mass media,Land,Colonization"
