region,artist_name,title,permalink,machine_clusters
Unspecified,Johanna Calle,"Suburbia 1, Espinca bifida #3, Laconista7",https://kadist.org/work/suburbia-1-espinca-bifida-3-laconista7/,"Culture,Language,Urbanization"
Americas,Chris Johanson,Apartment on Cardboard,https://kadist.org/work/apartment-on-cardboard/,"Urbanization,Body,History"
Unspecified,Raimond Chaves,Partituras,https://kadist.org/work/partituras/,"Geopolitics,Body,Media"
Americas,Julian Hoeber,Execution Changes #22,https://kadist.org/work/execution-changes-22/,"Materiality,Design,Identity"
Americas,Todd Hido,Untitled 3737 and Untitled 5157,https://kadist.org/work/untitled-3737-and-untitled-5157/,"Time,Design,Land"
Unspecified,Abraham Cruzvillegas,Tres cadencias,https://kadist.org/work/tres-cadencias/,"Design,Economy,Materiality"
Americas,James Welling,Stowe,https://kadist.org/work/stowe/,"Design,Materiality,Economy"
Americas,James Welling,#17 Pink,https://kadist.org/work/17-pink/,"Materiality,Time,Identity"
Americas,Ian Wallace,Study for my Heroes in the Street (Stan),https://kadist.org/work/study-for-my-heroes-in-the-street-stan/,"Mind,Language,Urbanization"
Americas,Ed Ruscha,Splinters and Seconal,https://kadist.org/work/splinters-and-seconal/,Environmental
Americas,Conrad Ruiz,New Fall Lineup,https://kadist.org/work/new-fall-lineup/,"Fantasy,Spirituality,Mind"
Americas,Colter Jacobsen,Victory at Sea,https://kadist.org/work/victory-at-sea/,"Media,Technology,Inequality"
Europe,Alain Séchas,Peace and Love,https://kadist.org/work/peace-and-love/,"Activism,Violence,Power"
Europe,Roman Ondak,Awaiting Enacted,https://kadist.org/work/awaiting-enacted/,"Media,Politics,Economy"
Europe,Roman Ondak,Slowed-down Journey,https://kadist.org/work/slowed-down-journey/,"Design,Media,Time"
Asia,Roman Ondak,The Stray Man,https://kadist.org/work/the-stray-man/,"Emotion,Violence,Politics"
Europe,Anthony McCall,Line describing a cone,https://kadist.org/work/line-describing-a-cone/,"Media,Mind,Culture"
Europe,Anthony McCall,Fire Cycles III (Subcycle 10),https://kadist.org/work/fire-cycles-iii-subcycle-10/,"Identity,Activism"
